2011-12-17 12:23:46 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [/Applications/MAMP/htdocs/ars/cake/libs/debugger.php, line 694]
2011-12-17 12:23:46 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/Applications/MAMP/htdocs/ars/cake/libs/debugger.php, line 698]
2011-12-17 13:14:03 Notice: Notice (8): Undefined index: location in [/Applications/MAMP/htdocs/ars/app/views/locations/index.ctp, line 5]
2011-12-17 16:24:43 Notice: Notice (8): Undefined index: loginid in [/Applications/MAMP/htdocs/ars/app/controllers/schools/schools_controller.php, line 21]
2011-12-17 16:24:43 Notice: Notice (8): Undefined index: passwd in [/Applications/MAMP/htdocs/ars/app/controllers/schools/schools_controller.php, line 22]
2011-12-17 16:24:58 Notice: Notice (8): Undefined index: loginid in [/Applications/MAMP/htdocs/ars/app/controllers/schools/schools_controller.php, line 22]
2011-12-17 16:24:58 Notice: Notice (8): Undefined index: passwd in [/Applications/MAMP/htdocs/ars/app/controllers/schools/schools_controller.php, line 23]
2011-12-17 16:25:10 Notice: Notice (8): Undefined index: loginid in [/Applications/MAMP/htdocs/ars/app/controllers/schools/schools_controller.php, line 22]
2011-12-17 16:25:10 Notice: Notice (8): Undefined index: passwd in [/Applications/MAMP/htdocs/ars/app/controllers/schools/schools_controller.php, line 23]
2011-12-17 16:25:14 Notice: Notice (8): Undefined index: loginid in [/Applications/MAMP/htdocs/ars/app/controllers/schools/schools_controller.php, line 22]
2011-12-17 16:25:14 Notice: Notice (8): Undefined index: passwd in [/Applications/MAMP/htdocs/ars/app/controllers/schools/schools_controller.php, line 23]
2011-12-17 18:55:43 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 18:55:54 Notice: Notice (8): Undefined property: View::$Html in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 14]
2011-12-17 19:03:17 Notice: Notice (8): Undefined property: View::$Text in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:31 Notice: Notice (8): Undefined property: View::$Text in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:31 Notice: Notice (8): Undefined property: View::$Text in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:31 Notice: Notice (8): Undefined property: View::$Text in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:31 Notice: Notice (8): Undefined property: View::$Text in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:32 Notice: Notice (8): Undefined property: View::$Text in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:32 Notice: Notice (8): Undefined property: View::$Text in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:32 Notice: Notice (8): Undefined property: View::$Text in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:32 Notice: Notice (8): Undefined property: View::$Text in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:32 Notice: Notice (8): Undefined property: View::$Text in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:32 Notice: Notice (8): Undefined property: View::$Text in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:33 Notice: Notice (8): Undefined property: View::$Text in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:33 Notice: Notice (8): Undefined property: View::$Text in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:33 Notice: Notice (8): Undefined property: View::$Text in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:55 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:55 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:56 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:56 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:56 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:56 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:56 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:05:56 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:06:22 Notice: Notice (8): Undefined property: View::$Text in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:06:43 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:06:44 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:06:44 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:06:44 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:06:44 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:07:48 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:07:49 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:07:49 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:07:49 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:07:49 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:07:49 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:07:49 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:09:46 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:09:46 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:09:46 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:09:46 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:09:46 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:09:46 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:09:47 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:09:47 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:09:47 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:11:12 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:11:45 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:11:46 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:11:46 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:11:46 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:19:41 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/ars/app/views/layouts/default.ctp, line 20]
2011-12-17 19:20:04 Notice: Notice (8): Undefined property: View::$Util in [/Applications/MAMP/htdocs/ars/app/views/schools/home.ctp, line 44]
2011-12-17 19:51:40 Notice: Notice (8): Undefined property: View::$Text in [/Applications/MAMP/htdocs/ars/app/views/teachers/paginatedview.ctp, line 33]
2011-12-17 20:21:51 Notice: Notice (8): Undefined property: TeachersController::$requestHandler in [/Applications/MAMP/htdocs/ars/app/controllers/teachers/teachers_controller.php, line 15]
2011-12-18 12:15:57 Notice: Notice (8): Undefined index: school_id in [/Applications/MAMP/htdocs/ars/app/controllers/teachers/teachers_controller.php, line 18]
2011-12-18 12:16:34 Notice: Notice (8): Undefined index: school_id in [/Applications/MAMP/htdocs/ars/app/controllers/teachers/teachers_controller.php, line 18]
2011-12-18 12:16:41 Notice: Notice (8): Undefined index: school_id in [/Applications/MAMP/htdocs/ars/app/controllers/teachers/teachers_controller.php, line 18]
2011-12-18 12:16:50 Notice: Notice (8): Undefined index: school_id in [/Applications/MAMP/htdocs/ars/app/controllers/teachers/teachers_controller.php, line 18]
2011-12-18 12:17:13 Notice: Notice (8): Undefined index: school_id in [/Applications/MAMP/htdocs/ars/app/controllers/teachers/teachers_controller.php, line 18]
2011-12-18 12:17:33 Notice: Notice (8): Undefined index: school_id in [/Applications/MAMP/htdocs/ars/app/controllers/teachers/teachers_controller.php, line 18]
2011-12-18 13:30:58 Notice: Notice (8): Undefined index: jobtype in [/Applications/MAMP/htdocs/ars/app/views/teachers/paginatedview.ctp, line 44]
2011-12-18 13:31:42 Notice: Notice (8): Undefined index: jobtype in [/Applications/MAMP/htdocs/ars/app/views/teachers/paginatedview.ctp, line 44]
